InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost
"40483126","676854543053","","PayerLineItem","1400000000162351951","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","SAE1-BoxUsage:t1.micro","RunInstances","2705168","$0.027 per On Demand Linux t1.micro Instance Hour","2014/05/01 00:00:00","2014/05/31 23:59:59","2976.0",,"USD","80.35","0.0","0.000000","None","80.350000"
"40483126","676854543053","","PayerLineItem","1400000000162351952","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","SAE1-CW:MetricMonitorUsage","MetricStorage","2707026","$0.675 per metric-month","2014/05/01 00:00:00","2014/05/31 23:59:59","91.18279678",,"USD","61.55","0.0","0.000000","None","61.550000"
"40483126","676854543053","","PayerLineItem","1400000000162351953","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","SAE1-DataProcessing-Bytes","LoadBalancing","2708110","$0.011 per GB Data Processed by the LoadBalancer","2014/05/01 00:00:00","2014/05/31 23:59:59","20.40597367",,"USD","0.22","0.0","0.000000","None","0.220000"
"40483126","676854543053","","PayerLineItem","1400000000162351954","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","DataProcessing-Bytes","LoadBalancing","2705800","$0.008 per GB Data Processed by the LoadBalancer","2014/05/01 00:00:00","2014/05/31 23:59:59","0.73893628",,"USD","0.01","0.0","0.000000","None","0.010000"
"40483126","676854543053","","PayerLineItem","1400000000162351955","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","SAE1-BoxUsage:m1.medium","RunInstances","2704715","$0.117 per On Demand Linux m1.medium Instance Hour","2014/05/01 00:00:00","2014/05/31 23:59:59","7238.0",,"USD","846.85","0.0","0.000000","None","846.850000"
"40483126","676854543053","","PayerLineItem","1400000000162351956","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","EBS:VolumeIOUsage",,"2700987","$0.05 per 1 million I/O requests - US East (Northern Virginia)","2014/05/01 00:00:00","2014/05/31 23:59:59","11683195",,"USD","0.58","0.0","0.000000","None","0.580000"
"40483126","676854543053","","PayerLineItem","1400000000162351957","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","SAE1-BoxUsage","RunInstances","2706049","$0.058 per On Demand Linux m1.small Instance Hour","2014/05/01 00:00:00","2014/05/31 23:59:59","8785.0",,"USD","509.53","0.0","0.000000","None","509.530000"
"40483126","676854543053","","PayerLineItem","1400000000158672970","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","USE1-EU-AWS-Out-Bytes",,"913832","$0.02 per GB - US East (Northern Virginia) data transfer to EU (Ireland)","2014/05/01 00:00:00","2014/05/31 23:59:59","0.00016482",,"USD","0.01","0.0","0.000000","None","0.010000"
"40483126","676854543053","","PayerLineItem","1400000000157659065","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","SAE1-DataTransfer-In-Bytes",,"913694","$0.000 per GB - data transfer in per month","2014/05/01 00:00:00","2014/05/31 23:59:59","50.74875242",,"USD","0.00","0.0","0.000000","None","0.000000"
"40483126","676854543053","","PayerLineItem","1400000000162351958","2014/05/01 00:00:00","2014/05/31 23:59:59","2014/06/03 21:01:50","TaxWeb","","Rua Gomes de Carvalho  1507, 9 andar, Sao Paulo, SP, 04547005, BR",,"AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","SAE1-CW:Requests",,"2701369","$0.00 per request - first 1,000,000 requests","2014/05/01 00:00:00","2014/05/31 23:59:59","137269.0",,"USD","0.00","0.0","0.000000","None","0.000000"
